"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.90673081742093931,0.043467044830322266,0.0013968944549560547
"Perceptron",0.86517869890068066,0.07660102844238281,0.0013740062713623047
"PassiveAggressiveClassifier",0.92764169314338429,0.026467084884643555,0.0011470317840576172
"NearestCentroid",0.85286162501352369,0.026208162307739258,0.008836030960083008
"MultinomialNB",0.87491911801304068,0.01200103759765625,0.003030061721801758
"BernoulliNB",0.88189544166881273,0.014823198318481445,0.004712104797363281
"LinearSVC (L2 penalty)",0.92791919604142226,0.690356969833374,0.0012280941009521484
"LinearSVC (L1 penalty)",0.92135058633238986,0.20156311988830566,0.0012009143829345703
"LinearSVC (L1 feature select)",0.82087462903857999,0.14633607864379883,0.006578922271728516
"LogisticRegression (L2 penalty)",0.83240793201133145,0.13338685035705566,0.0017499923706054688
"LogisticRegression (L1 penalty)",0.82842093466322964,0.14645695686340332,0.001232147216796875
"LogisticRegression (L1-feature select)",0.79990765856755341,0.1798079013824463,0.006818056106567383
"SGD (L2 penalty)",0.92827571931277164,0.08644795417785645,0.0014219284057617188
"SGD (L1 penalty)",0.83822797411647609,0.18953490257263184,0.0012509822845458984
"SGD (L1-feature select)",0.81841403190100459,0.10867190361022949,0.007912874221801758
