"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.93046492659053848,0.7811939716339111,0.014400005340576172
"Perceptron",0.90158060507989701,0.6072838306427002,0.012642860412597656
"PassiveAggressiveClassifier",0.94533159947984391,0.17404890060424805,0.013388872146606445
"NearestCentroid",0.8653106359119721,0.19405198097229004,0.08668708801269531
"MultinomialNB",0.90755160322452366,0.07641100883483887,0.02867889404296875
"BernoulliNB",0.90836082458837752,0.07290792465209961,0.043302059173583984
"LinearSVC (L2 penalty)",0.94467765454465114,6.817843914031982,0.012429952621459961
"LinearSVC (L1 penalty)",0.94875870808945806,2.416327953338623,0.01380300521850586
"LinearSVC (L1 feature select)",0.94565129613179355,2.264698028564453,0.33988499641418457
"LogisticRegression (L2 penalty)",0.94832311682187886,2.208418846130371,0.012506961822509766
"LogisticRegression (L1 penalty)",0.9470676802173994,1.261687994003296,0.012272834777832031
"LogisticRegression (L1-feature select)",0.94437420986093545,1.3878519535064697,0.15691804885864258
"SGD (L2 penalty)",0.94386932320657546,0.7271239757537842,0.011171817779541016
"SGD (L1 penalty)",0.93615765001107087,2.238992214202881,0.0267488956451416
"SGD (L1-feature select)",0.92111066108635975,0.9518630504608154,0.12380313873291016
