"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.93074271388279539,0.026643037796020508,0.0013928413391113281
"Perceptron",0.91845407729613504,0.09754705429077148,0.0015850067138671875
"PassiveAggressiveClassifier",0.93865891029969351,0.035871028900146484,0.0028209686279296875
"NearestCentroid",0.89790935449412479,0.03069019317626953,0.01862502098083496
"MultinomialNB",0.87947526646624752,0.009860992431640625,0.0021889209747314453
"BernoulliNB",0.88186301369863018,0.013756990432739258,0.007895946502685547
"LinearSVC (L2 penalty)",0.94406270677457127,0.2744109630584717,0.0011889934539794922
"LinearSVC (L1 penalty)",0.94147479460391537,0.24924707412719727,0.0010330677032470703
"LinearSVC (L1 feature select)",0.92813141683778233,0.17854714393615723,0.009446859359741211
"LogisticRegression (L2 penalty)",0.93198308712220079,0.10908985137939453,0.00121307373046875
"LogisticRegression (L1 penalty)",0.93709216965742248,0.1616981029510498,0.002743959426879883
"LogisticRegression (L1-feature select)",0.9111451348925611,0.21625709533691406,0.027434110641479492
"SGD (L2 penalty)",0.94413895883652799,0.09970498085021973,0.0030388832092285156
"SGD (L1 penalty)",0.9430357233599268,0.24187493324279785,0.0011179447174072266
"SGD (L1-feature select)",0.92673802348539958,0.11295914649963379,0.016536951065063477
