"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.88965162176076873,0.03237295150756836,0.0015099048614501953
"Perceptron",0.88161181709568803,0.1036369800567627,0.0011479854583740234
"PassiveAggressiveClassifier",0.90059279525763791,0.03272199630737305,0.006044149398803711
"NearestCentroid",0.86071191686933446,0.0266571044921875,0.018051862716674805
"MultinomialNB",0.82880467893261844,0.012605905532836914,0.00428009033203125
"BernoulliNB",0.84010905786125412,0.02121591567993164,0.005429983139038086
"LinearSVC (L2 penalty)",0.91905630145311901,0.2843470573425293,0.0042989253997802734
"LinearSVC (L1 penalty)",0.91969596827495037,0.23895692825317383,0.0015039443969726562
"LinearSVC (L1 feature select)",0.89645501458380061,0.26459217071533203,0.013964176177978516
"LogisticRegression (L2 penalty)",0.89440567440796248,0.14872312545776367,0.004111051559448242
"LogisticRegression (L1 penalty)",0.90291207869878731,0.19297480583190918,0.0014920234680175781
"LogisticRegression (L1-feature select)",0.86944927536231875,0.22543787956237793,0.018896102905273438
"SGD (L2 penalty)",0.91237315692100696,0.10986709594726562,0.005263090133666992
"SGD (L1 penalty)",0.90901015932937324,0.2245779037475586,0.0015981197357177734
"SGD (L1-feature select)",0.88347964884277741,0.10566496849060059,0.013992071151733398
