"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.94318296498133025,0.9208848476409912,0.0055539608001708984
"Perceptron",0.90813451061431516,0.3257710933685303,0.005221128463745117
"PassiveAggressiveClassifier",0.895121505572812,0.08076286315917969,0.005094051361083984
"NearestCentroid",0.79982507926095991,0.1368999481201172,0.0781099796295166
"KNeighborsClassifier",0.90745144669044764,0.01201009750366211,10.824026107788086
"MultinomialNB",0.8373442566990954,0.10480785369873047,0.019104957580566406
"BernoulliNB",0.84018775145283875,0.08437800407409668,0.08712196350097656
"LinearSVC (L2 penalty)",0.95843816041058671,4.265371084213257,0.0023200511932373047
"LinearSVC (L1 penalty)",0.958140470919702,1.2135980129241943,0.002287149429321289
"LinearSVC (L1 feature select)",0.95061104938895058,1.9239940643310547,0.036142826080322266
"LogisticRegression (L2 penalty)",0.95416371547101075,2.198042869567871,0.0018830299377441406
"LogisticRegression (L1 penalty)",0.95585412667946257,1.765192985534668,0.0020380020141601562
"LogisticRegression (L1-feature select)",0.9467707594038326,1.8496110439300537,0.04467892646789551
"SGD (L2 penalty)",0.95083909180651538,0.3320600986480713,0.005939960479736328
"SGD (L1 penalty)",0.94298158780439512,0.7362220287322998,0.005120992660522461
"SGD (L1-feature select)",0.92564761716432653,0.34191298484802246,0.03728294372558594
