"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.83720402021463847,0.08481001853942871,0.009757041931152344
"Perceptron",0.8537046768260641,0.12023282051086426,0.0023910999298095703
"PassiveAggressiveClassifier",0.87172413793103465,0.029944896697998047,0.006945133209228516
"NearestCentroid",0.80151665018133844,0.05336809158325195,0.03174400329589844
"MultinomialNB",0.76471653685926455,0.01239013671875,0.01448202133178711
"BernoulliNB",0.82048324779424497,0.0066699981689453125,0.00908803939819336
"LinearSVC (L2 penalty)",0.90037990713381166,0.26407909393310547,0.0021638870239257812
"LinearSVC (L1 penalty)",0.90578875745838994,0.7011620998382568,0.004814863204956055
"LinearSVC (L1 feature select)",0.86145657959050681,0.1841740608215332,0.032421112060546875
"LogisticRegression (L2 penalty)",0.86271450858034326,0.12427806854248047,0.002157926559448242
"LogisticRegression (L1 penalty)",0.86348308495594461,0.18096089363098145,0.002722024917602539
"LogisticRegression (L1-feature select)",0.82067426020262135,0.18828392028808594,0.020951032638549805
"SGD (L2 penalty)",0.89732574374395868,0.2594339847564697,0.05017495155334473
"SGD (L1 penalty)",0.87137916126242976,0.24750304222106934,0.0064890384674072266
"SGD (L1-feature select)",0.84577114427860689,0.1325681209564209,0.023768186569213867
