"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.82357015063196182,0.058638811111450195,0.0028228759765625
"Perceptron",0.8476047583324402,0.08537793159484863,0.0034399032592773438
"PassiveAggressiveClassifier",0.86917762424782707,0.023000001907348633,0.0038449764251708984
"NearestCentroid",0.79014415018437811,0.03740501403808594,0.024975061416625977
"MultinomialNB",0.75438166441965937,0.010927915573120117,0.013151168823242188
"BernoulliNB",0.84240622140896615,0.009406089782714844,0.015007972717285156
"LinearSVC (L2 penalty)",0.909688013136289,0.27432799339294434,0.0022919178009033203
"LinearSVC (L1 penalty)",0.92768028161722837,0.2284700870513916,0.0022840499877929688
"LinearSVC (L1 feature select)",0.87081495998693459,0.14081597328186035,0.04584097862243652
"LogisticRegression (L2 penalty)",0.85595598967104503,0.1274700164794922,0.002215862274169922
"LogisticRegression (L1 penalty)",0.88174251432277584,0.15965890884399414,0.005240917205810547
"LogisticRegression (L1-feature select)",0.81211629792656093,0.20031118392944336,0.050096988677978516
"SGD (L2 penalty)",0.89801210025929123,0.10770010948181152,0.0022399425506591797
"SGD (L1 penalty)",0.87941033006341118,0.25525999069213867,0.003626108169555664
"SGD (L1-feature select)",0.82953447393849833,0.14911293983459473,0.02830791473388672
