"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.88213221498730832,0.03417205810546875,0.005810976028442383
"Perceptron",0.87052083333333341,0.08518505096435547,0.0016939640045166016
"PassiveAggressiveClassifier",0.89249137411687385,0.038362979888916016,0.002012014389038086
"NearestCentroid",0.84530889996249259,0.037960052490234375,0.01917290687561035
"MultinomialNB",0.79235850740939107,0.022521018981933594,0.009058952331542969
"BernoulliNB",0.81702326669005032,0.018599987030029297,0.02384495735168457
"LinearSVC (L2 penalty)",0.9222726792691941,0.30701303482055664,0.006304025650024414
"LinearSVC (L1 penalty)",0.92256139064872511,0.2797260284423828,0.0016069412231445312
"LinearSVC (L1 feature select)",0.89405324173465017,0.1738591194152832,0.025521039962768555
"LogisticRegression (L2 penalty)",0.88654237474564157,0.12959909439086914,0.007494211196899414
"LogisticRegression (L1 penalty)",0.89646260701017622,0.16509103775024414,0.005489826202392578
"LogisticRegression (L1-feature select)",0.86057692307692302,0.20335102081298828,0.014342069625854492
"SGD (L2 penalty)",0.91074113856068739,0.11474800109863281,0.001603841781616211
"SGD (L1 penalty)",0.91904134843297347,0.23442292213439941,0.00791788101196289
"SGD (L1-feature select)",0.89046895353886235,0.13785505294799805,0.01663994789123535
