"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.85904584882280055,0.06403994560241699,0.007502079010009766
"Perceptron",0.84946657531565051,0.09967207908630371,0.002846956253051758
"PassiveAggressiveClassifier",0.93772893772893762,0.03515911102294922,0.002989053726196289
"NearestCentroid",0.77350451627563488,0.03313088417053223,0.024172067642211914
"MultinomialNB",0.86317848410757947,0.02100205421447754,0.005633115768432617
"BernoulliNB",0.86675930214605545,0.016521930694580078,0.008756160736083984
"LinearSVC (L2 penalty)",0.93596862105852974,1.1193292140960693,0.002977132797241211
"LinearSVC (L1 penalty)",0.93147620984139901,0.26490092277526855,0.002527952194213867
"LinearSVC (L1 feature select)",0.9073680940299278,0.21527791023254395,0.03336191177368164
"LogisticRegression (L2 penalty)",0.92391643280324298,0.2084648609161377,0.0035429000854492188
"LogisticRegression (L1 penalty)",0.92455825864276575,0.22136306762695312,0.0025179386138916016
"LogisticRegression (L1-feature select)",0.87560166862766076,0.23435211181640625,0.025408029556274414
"SGD (L2 penalty)",0.93506760577862336,0.12392616271972656,0.00905299186706543
"SGD (L1 penalty)",0.90906271002429817,0.2549459934234619,0.003113985061645508
"SGD (L1-feature select)",0.86823720552396422,0.1534440517425537,0.030849933624267578
