"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.79337567519439656,0.047779083251953125,0.009536981582641602
"Perceptron",0.849870896348211,0.08297610282897949,0.002629995346069336
"PassiveAggressiveClassifier",0.84519825287877937,0.04109787940979004,0.003437042236328125
"NearestCentroid",0.77323927636818757,0.031835079193115234,0.0449678897857666
"MultinomialNB",0.69196256890142294,0.009346961975097656,0.0067179203033447266
"BernoulliNB",0.7814387370687077,0.02714991569519043,0.0075719356536865234
"LinearSVC (L2 penalty)",0.88451557093425603,0.3035740852355957,0.002443075180053711
"LinearSVC (L1 penalty)",0.87769159841622846,0.21213197708129883,0.006747007369995117
"LinearSVC (L1 feature select)",0.82050406781589569,0.19945693016052246,0.02226996421813965
"LogisticRegression (L2 penalty)",0.81080447647506881,0.11984992027282715,0.0021371841430664062
"LogisticRegression (L1 penalty)",0.82654686078252959,0.1540369987487793,0.0028319358825683594
"LogisticRegression (L1-feature select)",0.77016687752274238,0.18843388557434082,0.03009510040283203
"SGD (L2 penalty)",0.86408470325996101,0.11309599876403809,0.0026040077209472656
"SGD (L1 penalty)",0.85571476174608474,0.2357771396636963,0.0020589828491210938
"SGD (L1-feature select)",0.80970907612798326,0.10304498672485352,0.0206758975982666
