"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.86813808715336704,0.06108999252319336,0.010371923446655273
"Perceptron",0.86518996626081845,0.09935212135314941,0.0030128955841064453
"PassiveAggressiveClassifier",0.93221978917349901,0.03165793418884277,0.0032520294189453125
"NearestCentroid",0.80098721112856175,0.027308940887451172,0.02703404426574707
"MultinomialNB",0.86378737541528239,0.022747039794921875,0.0056531429290771484
"BernoulliNB",0.86622829548957159,0.016061067581176758,0.008108139038085938
"LinearSVC (L2 penalty)",0.93354301948051965,1.1508710384368896,0.003058910369873047
"LinearSVC (L1 penalty)",0.91766759059644787,0.25609803199768066,0.00421595573425293
"LinearSVC (L1 feature select)",0.90123456790123457,0.28496885299682617,0.02634286880493164
"LogisticRegression (L2 penalty)",0.92078130666804825,0.2210688591003418,0.0029299259185791016
"LogisticRegression (L1 penalty)",0.91067177310837399,0.20180892944335938,0.0028929710388183594
"LogisticRegression (L1-feature select)",0.87495992305226045,0.22866392135620117,0.029282093048095703
"SGD (L2 penalty)",0.92810254819868709,0.12543201446533203,0.004606962203979492
"SGD (L1 penalty)",0.90384915069347038,0.268265962600708,0.0030090808868408203
"SGD (L1-feature select)",0.87641778207815946,0.15020298957824707,0.027517080307006836
