"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.9181109400605848,0.08295893669128418,0.0034530162811279297
"Perceptron",0.87266114753313873,0.14929604530334473,0.002179861068725586
"PassiveAggressiveClassifier",0.94550765511684109,0.037094831466674805,0.0020360946655273438
"NearestCentroid",0.86101241052577371,0.04873991012573242,0.01900005340576172
"MultinomialNB",0.89911641906981254,0.013242006301879883,0.00790715217590332
"BernoulliNB",0.90752423449761499,0.024888992309570312,0.007512807846069336
"LinearSVC (L2 penalty)",0.94179470496972117,0.553077220916748,0.004846096038818359
"LinearSVC (L1 penalty)",0.94062608868760256,0.3229501247406006,0.004553079605102539
"LinearSVC (L1 feature select)",0.93718097740941031,0.28596997261047363,0.010565996170043945
"LogisticRegression (L2 penalty)",0.9392057026476579,0.24692392349243164,0.0018181800842285156
"LogisticRegression (L1 penalty)",0.93681763040841093,0.249114990234375,0.001756906509399414
"LogisticRegression (L1-feature select)",0.9206284012732312,0.27449488639831543,0.03513908386230469
"SGD (L2 penalty)",0.94668624373449439,0.1676018238067627,0.002276897430419922
"SGD (L1 penalty)",0.94188579824694729,0.3153231143951416,0.0030031204223632812
"SGD (L1-feature select)",0.92755411589284797,0.16039204597473145,0.027143001556396484
