"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.9098975065014534,0.041574954986572266,0.001847982406616211
"Perceptron",0.87494544925568529,0.07760500907897949,0.0019371509552001953
"PassiveAggressiveClassifier",0.94306689255095222,0.023419857025146484,0.002000093460083008
"NearestCentroid",0.84700349956255472,0.02352595329284668,0.015624046325683594
"MultinomialNB",0.89112801652476192,0.01595282554626465,0.0049669742584228516
"BernoulliNB",0.89432829641896094,0.014182090759277344,0.005919933319091797
"LinearSVC (L2 penalty)",0.94447566021351581,0.7092578411102295,0.0017158985137939453
"LinearSVC (L1 penalty)",0.92942020077852883,0.20112395286560059,0.0017390251159667969
"LinearSVC (L1 feature select)",0.91695735929609001,0.15517306327819824,0.015892982482910156
"LogisticRegression (L2 penalty)",0.92381850571099244,0.13470196723937988,0.0020208358764648438
"LogisticRegression (L1 penalty)",0.91998542349940149,0.1489410400390625,0.0016851425170898438
"LogisticRegression (L1-feature select)",0.89734852518368646,0.17308497428894043,0.014977216720581055
"SGD (L2 penalty)",0.94221442575585601,0.08605194091796875,0.0020401477813720703
"SGD (L1 penalty)",0.91756272401433692,0.1888580322265625,0.0019059181213378906
"SGD (L1-feature select)",0.90179044390295571,0.1100318431854248,0.016138076782226562
