"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.93761617100371764,0.07908296585083008,0.0011839866638183594
"Perceptron",0.91370196590841612,0.0764169692993164,0.0012998580932617188
"PassiveAggressiveClassifier",0.81000000000000005,0.02569293975830078,0.0012958049774169922
"NearestCentroid",0.89442959244912434,0.02550196647644043,0.008085966110229492
"MultinomialNB",0.91242842707982486,0.013592004776000977,0.002547025680541992
"BernoulliNB",0.91898470097357443,0.016088008880615234,0.00496983528137207
"LinearSVC (L2 penalty)",0.94442223110755696,0.6387970447540283,0.001096963882446289
"LinearSVC (L1 penalty)",0.94286691755046192,0.8677890300750732,0.0010840892791748047
"LinearSVC (L1 feature select)",0.93453204241585963,0.26920104026794434,0.00793004035949707
"LogisticRegression (L2 penalty)",0.94083593840453861,0.2179269790649414,0.0013170242309570312
"LogisticRegression (L1 penalty)",0.93516382095062289,0.24124979972839355,0.001232147216796875
"LogisticRegression (L1-feature select)",0.92672463768115942,0.26926279067993164,0.01238393783569336
"SGD (L2 penalty)",0.90494482043777824,0.09397721290588379,0.001338958740234375
"SGD (L1 penalty)",0.92409123307198859,0.20989704132080078,0.0012371540069580078
"SGD (L1-feature select)",0.87085055743454853,0.11318802833557129,0.010673046112060547
