"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.92209721927403965,0.07077598571777344,0.0019872188568115234
"Perceptron",0.87501278510790614,0.11325907707214355,0.0019009113311767578
"PassiveAggressiveClassifier",0.94132929205455751,0.0344390869140625,0.0014829635620117188
"NearestCentroid",0.85689191414612709,0.033905982971191406,0.008550167083740234
"MultinomialNB",0.89613715958392148,0.015186071395874023,0.008087873458862305
"BernoulliNB",0.89653638739089336,0.020524024963378906,0.004776954650878906
"LinearSVC (L2 penalty)",0.93985608420148214,0.43313097953796387,0.0011429786682128906
"LinearSVC (L1 penalty)",0.93349117520447689,0.2829921245574951,0.0011298656463623047
"LinearSVC (L1 feature select)",0.91731703323691538,0.2380990982055664,0.007288932800292969
"LogisticRegression (L2 penalty)",0.93323832492874359,0.18848681449890137,0.0012340545654296875
"LogisticRegression (L1 penalty)",0.9173377156943302,0.21757006645202637,0.0017321109771728516
"LogisticRegression (L1-feature select)",0.90072612382905604,0.23479104042053223,0.01149296760559082
"SGD (L2 penalty)",0.94126604307156847,0.12561297416687012,0.0020580291748046875
"SGD (L1 penalty)",0.92232375979112269,0.2761270999908447,0.0015420913696289062
"SGD (L1-feature select)",0.90917151565530618,0.1491858959197998,0.013597965240478516
