"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.8724928366762178,0.056513071060180664,0.002785921096801758
"Perceptron",0.860100134796842,0.0923910140991211,0.002766132354736328
"PassiveAggressiveClassifier",0.93993473383642667,0.034281015396118164,0.002655029296875
"NearestCentroid",0.80527905156022817,0.02887105941772461,0.028077125549316406
"MultinomialNB",0.86411183888943199,0.017901897430419922,0.005480051040649414
"BernoulliNB",0.86314152410575429,0.020044803619384766,0.007646083831787109
"LinearSVC (L2 penalty)",0.93704365585907567,1.1492509841918945,0.0033140182495117188
"LinearSVC (L1 penalty)",0.92329020332717193,0.2591288089752197,0.002415895462036133
"LinearSVC (L1 feature select)",0.90526864893062065,0.21562886238098145,0.027363061904907227
"LogisticRegression (L2 penalty)",0.9272142041324889,0.21030902862548828,0.0023441314697265625
"LogisticRegression (L1 penalty)",0.92005378012203942,0.1900010108947754,0.0029900074005126953
"LogisticRegression (L1-feature select)",0.88659793814432974,0.22951078414916992,0.02240777015686035
"SGD (L2 penalty)",0.93861141178289764,0.14382410049438477,0.0034761428833007812
"SGD (L1 penalty)",0.9128652239348175,0.2671480178833008,0.0026519298553466797
"SGD (L1-feature select)",0.88702839048999083,0.14284896850585938,0.023105859756469727
