"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.91919406150583238,0.034800052642822266,0.005453824996948242
"Perceptron",0.90511167740968379,0.3979811668395996,0.0072040557861328125
"PassiveAggressiveClassifier",0.9313916197886547,0.055212974548339844,0.0028579235076904297
"NearestCentroid",0.87880818598896837,0.07563209533691406,0.04449295997619629
"MultinomialNB",0.85884714014940366,0.04587888717651367,0.012244939804077148
"BernoulliNB",0.86490709223815632,0.0175168514251709,0.008929014205932617
"LinearSVC (L2 penalty)",0.93930399181166835,0.2543349266052246,0.0011467933654785156
"LinearSVC (L1 penalty)",0.93946211269045909,0.1893630027770996,0.0020170211791992188
"LinearSVC (L1 feature select)",0.92256694463148092,0.43563413619995117,0.013052940368652344
"LogisticRegression (L2 penalty)",0.92068033698934992,0.14711284637451172,0.0015709400177001953
"LogisticRegression (L1 penalty)",0.92887374832249403,0.17074203491210938,0.0026569366455078125
"LogisticRegression (L1-feature select)",0.90605738575983019,0.17081403732299805,0.010489940643310547
"SGD (L2 penalty)",0.93540024885939432,0.10914492607116699,0.0019328594207763672
"SGD (L1 penalty)",0.93638886034323299,0.21506404876708984,0.003368854522705078
"SGD (L1-feature select)",0.92201185293963395,0.10832500457763672,0.013456106185913086
