"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.92644615616976289,0.07705497741699219,0.001110076904296875
"Perceptron",0.87549656041081281,0.11278200149536133,0.002696990966796875
"PassiveAggressiveClassifier",0.94529092954289817,0.03892803192138672,0.0011501312255859375
"NearestCentroid",0.88594569813050783,0.03939414024353027,0.010775089263916016
"MultinomialNB",0.89432758448808702,0.02815413475036621,0.0026488304138183594
"BernoulliNB",0.90170448603994569,0.024322986602783203,0.004584074020385742
"LinearSVC (L2 penalty)",0.94274246811969731,0.4468040466308594,0.001753091812133789
"LinearSVC (L1 penalty)",0.94046591889559961,0.30421900749206543,0.002710103988647461
"LinearSVC (L1 feature select)",0.93100795075660436,0.23446178436279297,0.008165121078491211
"LogisticRegression (L2 penalty)",0.93999999999999995,0.18407106399536133,0.0015668869018554688
"LogisticRegression (L1 penalty)",0.93590860187509617,0.1956629753112793,0.002788066864013672
"LogisticRegression (L1-feature select)",0.92789903796420803,0.2246870994567871,0.013096094131469727
"SGD (L2 penalty)",0.94634796881411565,0.15594196319580078,0.00127410888671875
"SGD (L1 penalty)",0.93671276541051884,0.270967960357666,0.0012371540069580078
"SGD (L1-feature select)",0.92232454086676041,0.14052700996398926,0.010982036590576172
