"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.79962295275126671,0.04693889617919922,0.00795888900756836
"Perceptron",0.87221467111495532,0.05701494216918945,0.008299112319946289
"PassiveAggressiveClassifier",0.87569866076321157,0.03115701675415039,0.006247997283935547
"NearestCentroid",0.74339635797375969,0.020262956619262695,0.05846905708312988
"MultinomialNB",0.8039062954135906,0.011897087097167969,0.01489710807800293
"BernoulliNB",0.84847671753591591,0.01481008529663086,0.015797853469848633
"LinearSVC (L2 penalty)",0.90401797487315261,0.24603509902954102,0.007333993911743164
"LinearSVC (L1 penalty)",0.89071645234331609,0.1642758846282959,0.006775856018066406
"LinearSVC (L1 feature select)",0.82020592752716304,0.1390540599822998,0.07063698768615723
"LogisticRegression (L2 penalty)",0.79684749087213902,0.0858910083770752,0.005376100540161133
"LogisticRegression (L1 penalty)",0.82178274185651967,0.11208105087280273,0.00788116455078125
"LogisticRegression (L1-feature select)",0.7150589624122472,0.14674901962280273,0.06913614273071289
"SGD (L2 penalty)",0.88479212728139756,0.0934150218963623,0.005939960479736328
"SGD (L1 penalty)",0.88094055664716175,0.16744208335876465,0.007072925567626953
"SGD (L1-feature select)",0.80054619298818919,0.09199714660644531,0.07504796981811523
