"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.90166092768887995,0.04936814308166504,0.0020079612731933594
"Perceptron",0.86007589763549674,0.2381739616394043,0.0054931640625
"PassiveAggressiveClassifier",0.91315857773163767,0.027233123779296875,0.0014140605926513672
"NearestCentroid",0.82065304809393624,0.025578975677490234,0.00854802131652832
"MultinomialNB",0.87155872449990091,0.018096923828125,0.0044329166412353516
"BernoulliNB",0.88265119439652939,0.01252889633178711,0.004904985427856445
"LinearSVC (L2 penalty)",0.91034126163391937,0.32314181327819824,0.0013439655303955078
"LinearSVC (L1 penalty)",0.90263649574423921,0.19716501235961914,0.0012280941009521484
"LinearSVC (L1 feature select)",0.88395795732031002,0.21100902557373047,0.009677886962890625
"LogisticRegression (L2 penalty)",0.89030530262453145,0.14326214790344238,0.0013570785522460938
"LogisticRegression (L1 penalty)",0.88487752928647501,0.14811205863952637,0.0012350082397460938
"LogisticRegression (L1-feature select)",0.85761190762832429,0.19609999656677246,0.008194923400878906
"SGD (L2 penalty)",0.91275518195582939,0.08991098403930664,0.00140380859375
"SGD (L1 penalty)",0.90322580645161266,0.19968795776367188,0.0013239383697509766
"SGD (L1-feature select)",0.87332032943216287,0.11367106437683105,0.008738994598388672
