"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.92133034857691076,0.0958089828491211,0.0009849071502685547
"Perceptron",0.87333977914609939,0.1275310516357422,0.0011169910430908203
"PassiveAggressiveClassifier",0.94221009549795365,0.04221296310424805,0.00459599494934082
"NearestCentroid",0.88020093917221798,0.029153108596801758,0.010955095291137695
"MultinomialNB",0.89367681498829044,0.021533966064453125,0.007897138595581055
"BernoulliNB",0.90924147068565753,0.019628047943115234,0.007562875747680664
"LinearSVC (L2 penalty)",0.93878876440980674,0.5468261241912842,0.0014870166778564453
"LinearSVC (L1 penalty)",0.93657745336577436,0.3395540714263916,0.0010700225830078125
"LinearSVC (L1 feature select)",0.93164253836943511,0.28234100341796875,0.006496906280517578
"LogisticRegression (L2 penalty)",0.93474426807760158,0.2562248706817627,0.0035009384155273438
"LogisticRegression (L1 penalty)",0.93342768493821782,0.22696208953857422,0.00444793701171875
"LogisticRegression (L1-feature select)",0.91986754966887418,0.29732394218444824,0.01895594596862793
"SGD (L2 penalty)",0.9427960291778642,0.13930201530456543,0.0013201236724853516
"SGD (L1 penalty)",0.93526442835198598,0.31127190589904785,0.0022788047790527344
"SGD (L1-feature select)",0.92130454140694562,0.1683950424194336,0.009933948516845703
