"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.89203140122593827,0.04361295700073242,0.0070459842681884766
"Perceptron",0.88237397211297808,0.1114950180053711,0.00711512565612793
"PassiveAggressiveClassifier",0.8994317572638576,0.023077011108398438,0.0015370845794677734
"NearestCentroid",0.85546772758205514,0.03160500526428223,0.011467933654785156
"MultinomialNB",0.81275636951874752,0.03637099266052246,0.012204885482788086
"BernoulliNB",0.82313003452243971,0.032929182052612305,0.005981922149658203
"LinearSVC (L2 penalty)",0.92406108130416831,0.2990097999572754,0.0058078765869140625
"LinearSVC (L1 penalty)",0.92549339588964252,0.22860383987426758,0.001873016357421875
"LinearSVC (L1 feature select)",0.90369751410068944,0.2193131446838379,0.031980037689208984
"LogisticRegression (L2 penalty)",0.89693264693264696,0.1053929328918457,0.010947942733764648
"LogisticRegression (L1 penalty)",0.91183957608187427,0.1770620346069336,0.002588987350463867
"LogisticRegression (L1-feature select)",0.87359825802939572,0.22350215911865234,0.008852005004882812
"SGD (L2 penalty)",0.91914182805240885,0.12580299377441406,0.0017168521881103516
"SGD (L1 penalty)",0.91678711542432378,0.25967979431152344,0.0019009113311767578
"SGD (L1-feature select)",0.88923356688238742,0.12304806709289551,0.013052940368652344
