"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.94612777581061258,0.06981897354125977,0.001653909683227539
"Perceptron",0.9178678834387638,0.06836605072021484,0.0018069744110107422
"PassiveAggressiveClassifier",0.82060802970526803,0.02135610580444336,0.0017910003662109375
"NearestCentroid",0.89916206436869184,0.025237083435058594,0.014274835586547852
"MultinomialNB",0.9115884845827853,0.013505935668945312,0.004048824310302734
"BernoulliNB",0.92086620107521466,0.011687040328979492,0.0056149959564208984
"LinearSVC (L2 penalty)",0.95076265712724195,0.6274068355560303,0.0015959739685058594
"LinearSVC (L1 penalty)",0.94776564051638545,0.7723309993743896,0.0015430450439453125
"LinearSVC (L1 feature select)",0.94180850529698235,0.3005828857421875,0.010616064071655273
"LogisticRegression (L2 penalty)",0.94710835476226496,0.231903076171875,0.0017919540405273438
"LogisticRegression (L1 penalty)",0.94496886925085344,0.22661089897155762,0.0017168521881103516
"LogisticRegression (L1-feature select)",0.93176853121983438,0.23703408241271973,0.011584997177124023
"SGD (L2 penalty)",0.91023588429928493,0.08302593231201172,0.0018808841705322266
"SGD (L1 penalty)",0.91781109130936145,0.1927628517150879,0.0018091201782226562
"SGD (L1-feature select)",0.86328776258752937,0.10300016403198242,0.010946035385131836
