"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.92750251176563903,0.052488088607788086,0.0012638568878173828
"Perceptron",0.91316866191847257,0.08640599250793457,0.0048139095306396484
"PassiveAggressiveClassifier",0.93223732743176302,0.019984006881713867,0.002574920654296875
"NearestCentroid",0.89336016096579474,0.025213003158569336,0.01959395408630371
"MultinomialNB",0.85043291268179511,0.03366684913635254,0.002833843231201172
"BernoulliNB",0.85978150692645572,0.019078969955444336,0.004288196563720703
"LinearSVC (L2 penalty)",0.94295475722124444,0.26806092262268066,0.006368160247802734
"LinearSVC (L1 penalty)",0.94218019221873872,0.24614691734313965,0.0012049674987792969
"LinearSVC (L1 feature select)",0.92785758900687065,0.17594313621520996,0.01279592514038086
"LogisticRegression (L2 penalty)",0.92448925444414964,0.1523730754852295,0.008782148361206055
"LogisticRegression (L1 penalty)",0.93450777202072555,0.1996300220489502,0.0012249946594238281
"LogisticRegression (L1-feature select)",0.91063420884048696,0.2357029914855957,0.022285938262939453
"SGD (L2 penalty)",0.94036003130707013,0.10538697242736816,0.0011548995971679688
"SGD (L1 penalty)",0.94230967343154404,0.2776048183441162,0.0014719963073730469
"SGD (L1-feature select)",0.92816287978170753,0.15767598152160645,0.007684946060180664
