"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.89647822506418628,0.07106399536132812,0.0023300647735595703
"Perceptron",0.86975181936928525,0.08316898345947266,0.001508951187133789
"PassiveAggressiveClassifier",0.93291981391626211,0.026814937591552734,0.0018038749694824219
"NearestCentroid",0.5667491142456047,0.02756786346435547,0.01209712028503418
"MultinomialNB",0.87313710879284645,0.01967000961303711,0.003701925277709961
"BernoulliNB",0.89051874878570048,0.014758825302124023,0.005975008010864258
"LinearSVC (L2 penalty)",0.93105006779490773,1.0923211574554443,0.0015408992767333984
"LinearSVC (L1 penalty)",0.92604662822762607,0.23855805397033691,0.0014219284057617188
"LinearSVC (L1 feature select)",0.91597320884919831,0.18795990943908691,0.012898921966552734
"LogisticRegression (L2 penalty)",0.91992800205708414,0.190277099609375,0.001470804214477539
"LogisticRegression (L1 penalty)",0.91878689191939755,0.1937098503112793,0.001422882080078125
"LogisticRegression (L1-feature select)",0.90199153206837068,0.22013187408447266,0.010049104690551758
"SGD (L2 penalty)",0.93243106756893246,0.11010599136352539,0.0033750534057617188
"SGD (L1 penalty)",0.92463476070528983,0.22516083717346191,0.001528024673461914
"SGD (L1-feature select)",0.91464104013566994,0.1177370548248291,0.011141061782836914
