"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.91212732571172384,0.05718708038330078,0.001255035400390625
"Perceptron",0.86801490154337424,0.07958507537841797,0.0013990402221679688
"PassiveAggressiveClassifier",0.9475743799274905,0.028408050537109375,0.001291036605834961
"NearestCentroid",0.86296989078621844,0.02774810791015625,0.007766008377075195
"MultinomialNB",0.88503560363102673,0.018777847290039062,0.004960060119628906
"BernoulliNB",0.89904284412032809,0.015429973602294922,0.005834817886352539
"LinearSVC (L2 penalty)",0.94579074308028033,1.0912959575653076,0.0012688636779785156
"LinearSVC (L1 penalty)",0.94103420476793731,0.21658802032470703,0.0015039443969726562
"LinearSVC (L1 feature select)",0.934221192819919,0.1794600486755371,0.0074269771575927734
"LogisticRegression (L2 penalty)",0.93856575566456435,0.1796250343322754,0.0011439323425292969
"LogisticRegression (L1 penalty)",0.93884163628999595,0.16048002243041992,0.00115203857421875
"LogisticRegression (L1-feature select)",0.92233009708737856,0.1931929588317871,0.006946086883544922
"SGD (L2 penalty)",0.94529439035697727,0.09890007972717285,0.0015859603881835938
"SGD (L1 penalty)",0.93432350893478755,0.21413588523864746,0.0014309883117675781
"SGD (L1-feature select)",0.91691762621789186,0.13614511489868164,0.007254123687744141
