"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.90959934919666463,0.043309926986694336,0.0014009475708007812
"Perceptron",0.88266015044798984,0.0722799301147461,0.0012390613555908203
"PassiveAggressiveClassifier",0.93407556311530338,0.02449798583984375,0.0015468597412109375
"NearestCentroid",0.8314855875831485,0.025830984115600586,0.009781837463378906
"MultinomialNB",0.88612836438923381,0.01248788833618164,0.0030150413513183594
"BernoulliNB",0.88175622951672483,0.013962030410766602,0.004643917083740234
"LinearSVC (L2 penalty)",0.93155052712779629,0.7040770053863525,0.0014090538024902344
"LinearSVC (L1 penalty)",0.93342183192075967,0.19532394409179688,0.0012059211730957031
"LinearSVC (L1 feature select)",0.79849797804737155,0.19332098960876465,0.0067098140716552734
"LogisticRegression (L2 penalty)",0.81484478871611066,0.13656401634216309,0.0015478134155273438
"LogisticRegression (L1 penalty)",0.81333791680990031,0.13277792930603027,0.0012788772583007812
"LogisticRegression (L1-feature select)",0.76977257804572319,0.1789090633392334,0.006970882415771484
"SGD (L2 penalty)",0.92458158995815898,0.09097099304199219,0.0014050006866455078
"SGD (L1 penalty)",0.83038431195762419,0.1878960132598877,0.0013589859008789062
"SGD (L1-feature select)",0.80058173356602669,0.10709691047668457,0.012156963348388672
