"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.90144927536231878,0.04124307632446289,0.0017209053039550781
"Perceptron",0.88526032754827688,0.09920287132263184,0.002216815948486328
"PassiveAggressiveClassifier",0.93044884755357871,0.028338909149169922,0.0017879009246826172
"NearestCentroid",0.84268498827635108,0.024037837982177734,0.013468027114868164
"MultinomialNB",0.87638302152484415,0.011317014694213867,0.006824016571044922
"BernoulliNB",0.88295413692157565,0.012914896011352539,0.006595134735107422
"LinearSVC (L2 penalty)",0.93087511303124681,0.7132220268249512,0.0018191337585449219
"LinearSVC (L1 penalty)",0.92094621916700359,0.2286849021911621,0.0016510486602783203
"LinearSVC (L1 feature select)",0.91116983433275722,0.18845009803771973,0.019881010055541992
"LogisticRegression (L2 penalty)",0.92330504141527758,0.1815810203552246,0.0016148090362548828
"LogisticRegression (L1 penalty)",0.91965464702894861,0.1739668846130371,0.0020020008087158203
"LogisticRegression (L1-feature select)",0.90329557157569529,0.18288397789001465,0.012305021286010742
"SGD (L2 penalty)",0.93410990124082038,0.11057305335998535,0.0023000240325927734
"SGD (L1 penalty)",0.91326399918028578,0.21221709251403809,0.0019450187683105469
"SGD (L1-feature select)",0.90109090909090916,0.189255952835083,0.018811941146850586
