"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.8901907922024056,0.04493308067321777,0.0028891563415527344
"Perceptron",0.88121118012422361,0.07455182075500488,0.0021839141845703125
"PassiveAggressiveClassifier",0.94139401099183329,0.0232999324798584,0.0022368431091308594
"NearestCentroid",0.80914039464731224,0.021992921829223633,0.020782947540283203
"MultinomialNB",0.84620233217774987,0.010966062545776367,0.004926919937133789
"BernoulliNB",0.8673393520977164,0.011560916900634766,0.006518840789794922
"LinearSVC (L2 penalty)",0.93898878131243269,0.6931259632110596,0.002416849136352539
"LinearSVC (L1 penalty)",0.93859560239132622,0.21080994606018066,0.002550840377807617
"LinearSVC (L1 feature select)",0.91148599396022068,0.14289307594299316,0.01992487907409668
"LogisticRegression (L2 penalty)",0.93033661099838716,0.12021684646606445,0.0022711753845214844
"LogisticRegression (L1 penalty)",0.92162456558950145,0.14274096488952637,0.002907991409301758
"LogisticRegression (L1-feature select)",0.87761935623244758,0.1772928237915039,0.0226590633392334
"SGD (L2 penalty)",0.94339234252778914,0.08914685249328613,0.0025589466094970703
"SGD (L1 penalty)",0.91705546915500258,0.18460416793823242,0.0025398731231689453
"SGD (L1-feature select)",0.88431351467584141,0.10060811042785645,0.023949861526489258
