"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.88615417976797128,0.03146815299987793,0.0015950202941894531
"Perceptron",0.88395570435230497,0.0897989273071289,0.0024831295013427734
"PassiveAggressiveClassifier",0.90278451015242078,0.029044151306152344,0.0024809837341308594
"NearestCentroid",0.84405520169851389,0.024334192276000977,0.021358013153076172
"MultinomialNB",0.80939644144667977,0.008746862411499023,0.004149198532104492
"BernoulliNB",0.8430325073880427,0.018835067749023438,0.00580596923828125
"LinearSVC (L2 penalty)",0.91938519447929734,0.2652909755706787,0.0016481876373291016
"LinearSVC (L1 penalty)",0.91817945383615096,0.23868298530578613,0.0016109943389892578
"LinearSVC (L1 feature select)",0.88804111693954324,0.15602493286132812,0.013020038604736328
"LogisticRegression (L2 penalty)",0.89168602452595747,0.09655499458312988,0.0016758441925048828
"LogisticRegression (L1 penalty)",0.89578713968957868,0.14409899711608887,0.001538991928100586
"LogisticRegression (L1-feature select)",0.87256176853055933,0.19333410263061523,0.01915884017944336
"SGD (L2 penalty)",0.91515407344871258,0.10041189193725586,0.0028150081634521484
"SGD (L1 penalty)",0.91015400678673974,0.2190389633178711,0.001970052719116211
"SGD (L1-feature select)",0.89034666666666651,0.10063600540161133,0.03288602828979492
