"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.92588797814207657,0.08392786979675293,0.0035369396209716797
"Perceptron",0.88563756918187309,0.15299701690673828,0.0014319419860839844
"PassiveAggressiveClassifier",0.94465416110110934,0.03483700752258301,0.0014269351959228516
"NearestCentroid",0.8835131685810419,0.0443110466003418,0.011394023895263672
"MultinomialNB",0.89674728940783988,0.0367891788482666,0.00683283805847168
"BernoulliNB",0.91187018637192074,0.010860919952392578,0.0048139095306396484
"LinearSVC (L2 penalty)",0.94212311052359321,0.5649750232696533,0.0010790824890136719
"LinearSVC (L1 penalty)",0.94233861704571553,0.3301877975463867,0.0012748241424560547
"LinearSVC (L1 feature select)",0.93544457978075513,0.33718323707580566,0.0070590972900390625
"LogisticRegression (L2 penalty)",0.94096307998361717,0.2419118881225586,0.0011491775512695312
"LogisticRegression (L1 penalty)",0.93651069751261096,0.23915696144104004,0.0015180110931396484
"LogisticRegression (L1-feature select)",0.92447058823529404,0.29115891456604004,0.019746065139770508
"SGD (L2 penalty)",0.94559449530584871,0.16542887687683105,0.0014369487762451172
"SGD (L1 penalty)",0.94024276377217553,0.35884594917297363,0.0025069713592529297
"SGD (L1-feature select)",0.93292358607647319,0.17959189414978027,0.008700132369995117
