"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.76277040538083996,0.058734893798828125,0.0028760433197021484
"Perceptron",0.85916304404755683,0.08489513397216797,0.002355813980102539
"PassiveAggressiveClassifier",0.85307523493331849,0.017857074737548828,0.006333827972412109
"NearestCentroid",0.79621325361235673,0.028165817260742188,0.02012491226196289
"MultinomialNB",0.7504112092598233,0.013087987899780273,0.014435052871704102
"BernoulliNB",0.80935754189944142,0.010396957397460938,0.005964994430541992
"LinearSVC (L2 penalty)",0.88972243060765199,0.27333498001098633,0.0023429393768310547
"LinearSVC (L1 penalty)",0.83477484515373013,0.24498605728149414,0.002274036407470703
"LinearSVC (L1 feature select)",0.78209479227618484,0.1770009994506836,0.01933598518371582
"LogisticRegression (L2 penalty)",0.77103198551599272,0.10657596588134766,0.00801396369934082
"LogisticRegression (L1 penalty)",0.78710732220016355,0.15181398391723633,0.0018618106842041016
"LogisticRegression (L1-feature select)",0.73716645097676714,0.1887979507446289,0.011168956756591797
"SGD (L2 penalty)",0.87756670692873617,0.10182690620422363,0.0016961097717285156
"SGD (L1 penalty)",0.80771889400921659,0.2003178596496582,0.0022330284118652344
"SGD (L1-feature select)",0.76296474551798832,0.11635303497314453,0.027844905853271484
