"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.89297168016524442,0.050553083419799805,0.0019719600677490234
"Perceptron",0.88855762311092845,0.07204103469848633,0.009048938751220703
"PassiveAggressiveClassifier",0.90902243503523983,0.0373690128326416,0.001528024673461914
"NearestCentroid",0.85699107522311957,0.022053003311157227,0.013487100601196289
"MultinomialNB",0.8158415841584159,0.006746053695678711,0.004714012145996094
"BernoulliNB",0.85466794995187678,0.01763296127319336,0.009944915771484375
"LinearSVC (L2 penalty)",0.93570465622731513,0.2834758758544922,0.008375883102416992
"LinearSVC (L1 penalty)",0.93490819063338149,0.24658799171447754,0.0015120506286621094
"LinearSVC (L1 feature select)",0.90521978021978033,0.18512701988220215,0.013065099716186523
"LogisticRegression (L2 penalty)",0.91011356331690607,0.12180089950561523,0.005352973937988281
"LogisticRegression (L1 penalty)",0.91426172735858968,0.18265509605407715,0.004620075225830078
"LogisticRegression (L1-feature select)",0.87619151966692221,0.20792198181152344,0.01646590232849121
"SGD (L2 penalty)",0.93068372483221462,0.1667468547821045,0.001728057861328125
"SGD (L1 penalty)",0.9171259119298798,0.2495279312133789,0.0017170906066894531
"SGD (L1-feature select)",0.88936999350508772,0.13761091232299805,0.015256881713867188
