"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.87154942119323242,0.0330049991607666,0.0026891231536865234
"Perceptron",0.87727862892755126,0.08335018157958984,0.003476858139038086
"PassiveAggressiveClassifier",0.90020101048514156,0.030016183853149414,0.0016748905181884766
"NearestCentroid",0.83677134926250496,0.018961191177368164,0.03269815444946289
"MultinomialNB",0.7995983698541137,0.008893013000488281,0.00764012336730957
"BernoulliNB",0.83231601980882186,0.01659393310546875,0.010642051696777344
"LinearSVC (L2 penalty)",0.92465106516948259,0.2800021171569824,0.0017430782318115234
"LinearSVC (L1 penalty)",0.93084112149532716,0.19375014305114746,0.010181903839111328
"LinearSVC (L1 feature select)",0.89340482573726554,0.18436288833618164,0.03913998603820801
"LogisticRegression (L2 penalty)",0.88826723712358069,0.12734389305114746,0.012610912322998047
"LogisticRegression (L1 penalty)",0.90505115089514077,0.17673802375793457,0.006407022476196289
"LogisticRegression (L1-feature select)",0.85467302834689851,0.2015697956085205,0.017869949340820312
"SGD (L2 penalty)",0.91615039521469765,0.10884594917297363,0.0016999244689941406
"SGD (L1 penalty)",0.91114649681528659,0.2266850471496582,0.0021598339080810547
"SGD (L1-feature select)",0.88155297214301376,0.15451407432556152,0.03277397155761719
