"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.88615417976797128,0.039694786071777344,0.001422882080078125
"Perceptron",0.88395570435230497,0.08696603775024414,0.0013990402221679688
"PassiveAggressiveClassifier",0.90278451015242078,0.04161500930786133,0.010833978652954102
"NearestCentroid",0.84405520169851389,0.02829599380493164,0.016412973403930664
"MultinomialNB",0.80939644144667977,0.01302194595336914,0.007992029190063477
"BernoulliNB",0.8430325073880427,0.021226882934570312,0.013561010360717773
"LinearSVC (L2 penalty)",0.91938519447929734,0.2793591022491455,0.001422882080078125
"LinearSVC (L1 penalty)",0.91814872594903796,0.26744604110717773,0.00510716438293457
"LinearSVC (L1 feature select)",0.8883945124212087,0.28478288650512695,0.017771005630493164
"LogisticRegression (L2 penalty)",0.89168602452595747,0.14591598510742188,0.0018310546875
"LogisticRegression (L1 penalty)",0.89583443324006107,0.18604302406311035,0.0014579296112060547
"LogisticRegression (L1-feature select)",0.87229777320257895,0.1946570873260498,0.01674509048461914
"SGD (L2 penalty)",0.91515407344871258,0.09667587280273438,0.005054950714111328
"SGD (L1 penalty)",0.91015400678673974,0.22199106216430664,0.002596139907836914
"SGD (L1-feature select)",0.89034666666666651,0.12882208824157715,0.018147945404052734
