"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.87214470284237744,0.04549098014831543,0.0029687881469726562
"Perceptron",0.85842084791909767,0.07793903350830078,0.0024759769439697266
"PassiveAggressiveClassifier",0.92793944663223049,0.021902084350585938,0.0027799606323242188
"NearestCentroid",0.79544811187227538,0.027517080307006836,0.023452043533325195
"MultinomialNB",0.83727856225930686,0.014184951782226562,0.005342006683349609
"BernoulliNB",0.8611227045075126,0.011071920394897461,0.007155895233154297
"LinearSVC (L2 penalty)",0.92382363459868189,0.7039289474487305,0.00269317626953125
"LinearSVC (L1 penalty)",0.91791497975708514,0.2073369026184082,0.0023980140686035156
"LinearSVC (L1 feature select)",0.89149958228905601,0.15297985076904297,0.029172897338867188
"LogisticRegression (L2 penalty)",0.914700354980163,0.12630701065063477,0.002777099609375
"LogisticRegression (L1 penalty)",0.90797228828456211,0.15197110176086426,0.0024259090423583984
"LogisticRegression (L1-feature select)",0.8585275539098236,0.1723489761352539,0.02540302276611328
"SGD (L2 penalty)",0.93269132261038834,0.09067487716674805,0.002713918685913086
"SGD (L1 penalty)",0.90788861910420005,0.18046808242797852,0.0026950836181640625
"SGD (L1-feature select)",0.86556169429097585,0.11747598648071289,0.023225784301757812
